iter	Passed	Remaining
0	18	894
1	40	973
2	58	910
3	80	920
4	103	933
5	122	896
6	144	886
7	166	872
8	188	860
9	213	853
10	242	860
11	271	861
12	317	904
13	348	895
14	371	866
15	393	835
16	419	813
17	441	784
18	463	755
19	485	727
20	507	700
21	529	673
22	551	647
23	574	622
24	596	596
25	618	571
26	640	545
27	662	520
28	684	495
29	706	470
30	729	447
31	771	434
32	794	409
33	816	384
34	858	367
35	882	343
36	904	317
37	925	292
38	947	267
39	973	243
40	996	218
41	1018	194
42	1045	170
43	1081	147
44	1104	122
45	1125	97
46	1146	73
47	1167	48
48	1189	24
49	1210	0
